id,artist,title,country,discogs_release_id,discogs_url,cover_url
"92","Ayers, Kevin","Bananamour","Belgium","417129","https://www.discogs.com/release/417129-Kevin-Ayers-Yes-We-Have-No-Mañanas-So-Get-Your-Mañanas-Today",""
"93","Ayers, Kevin","Bananamour","Belgium","417129","https://www.discogs.com/release/417129-Kevin-Ayers-Yes-We-Have-No-Mañanas-So-Get-Your-Mañanas-Today",""
"94","Ayers, Kevin","Bananamour","Belgium","11169549","https://www.discogs.com/release/11169549-Kevin-Ayers-Sweet-Deceiver",""
"95","Ayers, Kevin","Bananamour","Brazil","10546926","https://www.discogs.com/release/10546926-Kevin-Ayers-Caribbean-Moon",""
"97","Ayers, Kevin","BBC Radio 1 Live In Concert","Brazil","3407822","https://www.discogs.com/release/3407822-Kevin-Ayers-Falling-In-Love-Again-The-Owl",""
"98","Ayers, Kevin","BBC Sessions 1970-1972","Brazil","1248166","https://www.discogs.com/release/1248166-Kevin-Ayers-Whatevershebringswesing",""
"99","Ayers, Kevin","Butterfly Dance","Brazil","10957189","https://www.discogs.com/release/10957189-Kevin-Ayers-The-Confessions-Of-Dr-Dream-And-Other-Stories",""
"100","Ayers, Kevin","Butterfly Dance","Brazil","1900940","https://www.discogs.com/release/1900940-Kevin-Ayers-First-Show-In-The-Appearance-Business-The-BBC-Sessions-1973-76",""
"101","Ayers, Kevin","Butterfly Dance","Brazil","10230080","https://www.discogs.com/release/10230080-Kevin-Ayers-Champagne-And-Valium-My-Speeding-Heart",""
"103","Ayers, Kevin","Caribbean Moon","Brazil","1755917","https://www.discogs.com/release/1755917-Kevin-Ayers-The-Kevin-Ayers-Collection",""
"104","Ayers, Kevin","Caribbean Moon","Brazil","5298202","https://www.discogs.com/release/5298202-Kevin-Ayers-Stop-Playing-With-My-Heart-Champagne-And-Valium",""
"106","Ayers, Kevin","Caribbean Moon","Brazil","3656528","https://www.discogs.com/release/3656528-Kevin-Ayers-Am-I-Really-Marcel",""
"107","Ayers, Kevin","Caribbean Moon","Brazil","4568643","https://www.discogs.com/release/4568643-Kevin-Ayers-Money-Money-Money",""
"108","Ayers, Kevin","Caribbean Moon","Brazil","1445555","https://www.discogs.com/release/1445555-Kevin-Ayers-Bananamour",""
"109","Ayers, Kevin","Caribbean Moon","Brazil","1445555","https://www.discogs.com/release/1445555-Kevin-Ayers-Bananamour",""
"110","Ayers, Kevin","Caribbean Moon","Brazil","3369452","https://www.discogs.com/release/3369452-Kevin-Ayers-Whatevershebringswesing",""
"112","Ayers, Kevin","Caribbean Moon","Brazil","2948024","https://www.discogs.com/release/2948024-Kevin-Ayers-Day-By-Day",""
"114","Ayers, Kevin","Caribbean Moon","Canada","8412628","https://www.discogs.com/release/8412628-Kevin-Ayres-As-Close-As-You-Think",""
"117","Ayers, Kevin","Champagne And Valium / My Speeding Heart","Canada","14774387","https://www.discogs.com/release/14774387-Kevin-Ayers-Sweet-Deceiver",""
"118","Ayers, Kevin","Champagne And Valium / My Speeding Heart","Canada","1749834","https://www.discogs.com/release/1749834-Kevin-Ayers-What-More-Can-I-Say-",""
