Artist,Title,Format,Cover Present,Label,Catogue Number,Year Released,Country,Notes,Sealed Status,discogs URL, Median Price ,discogs_release_id,,
"Amos, Tori",Live At Montreaux 1991 & 1992,CD  / DVD,Yes,Atlantic,83658-2,2003,Australia,Digipack,No,https://www.discogs.com/release/444546-Tori-Amos-Tales-Of-A-Librarian-A-Tori-Amos-Collection, $4.02 ,444546,,444546
"Amos, Tori",Midwinter Graces,CD,Yes,Atlantic,AT0077CD2,1999,Australia,CD Single 2,No,https://www.discogs.com/release/1457281-Tori-Amos-Glory-Of-The-80s, $4.20 ,1457281,,1457281
"Amos, Tori",Professional Widow / Hey Jupiter,CD,Yes,Atlantic,2-84535,1999,Australia,Maxi-Single Enhanced,No,https://www.discogs.com/release/1198276-Tori-Amos-1000-Oceans, $4.31 ,1198276,,1198276
"Amos, Tori",Raspberry Swirl,CD,Yes,Atlantic / EastWest,AT0031CD,1998,Australia,CD Single 1,No,https://www.discogs.com/release/1230804-Tori-Amos-Spark, $4.32 ,1230804,,1230804
"Amos, Tori",Raspberry Swirl,CD,Yes,Atlantic,2-84442,1999,Australia,CD Maxi-Single,No,https://www.discogs.com/release/205613-Tori-Amos-Jackies-Strength, $4.71 ,205613,,205613
"Amos, Tori",Raspberry Swirl,DVD,Yes,Eagle Eye Media / Montreux Sounds,EE 39172-9,2008,Australia,,No,https://www.discogs.com/release/3880234-Tori-Amos-Live-At-Montreux-1991-1992, $5.00 ,3880234,,3880234
"Amos, Tori",Scarlet's Walk,CD  / DVD,Yes,Mercury Classics,B0020338-00,2014,Australia,Deluxe Edition,No,https://www.discogs.com/release/5695136-Tori-Amos-Unrepentant-Geraldines, $5.29 ,5695136,,5695136
"Amos, Tori",Sleeps With Butterflies,CD,Yes,Atlantic,7567845352,2000,Australia,Enhanced ,No,https://www.discogs.com/release/4237026-Tori-Amos-1000-Oceans, $5.70 ,4237026,,4237026
"Amos, Tori",Spark,CD / DVD,Yes,Universal Republic Records,B0013629-10,2009,Australia,Limited Edition,No,https://www.discogs.com/release/2080227-Tori-Amos-Midwinter-Graces, $6.00 ,2080227,,2080227
"Amos, Tori",Spark,"12"" Vinyl",Yes,Atlantic,331000032,1998,Australia,Promo - Maroon Labels,No,https://www.discogs.com/release/4224952-Tori-Amos-Raspberry-Swirl, $6.00 ,4224952,,4224952
